"Business Name","Phone","Niche","Date"
"Keewatin Regional Health Board","Phone Number

867-793-2288","Dentists","2026-04-17"
"Health and Social Services","Phone Number

867-896-9916

867-896-9115","Dentists","2026-04-17"
"Health & Social Services","Phone Number

867-462-4020","Dentists","2026-04-17"
"The Government of Nunavut","Phone Number

867-925-9916

867-925-8380","Dentists","2026-04-17"
"Dental Clinic","Phone Number

867-645-2776","Dentists","2026-04-17"
"Gjoa Haven Dental Clinic","Phone Number

867-360-7777","Dentists","2026-04-17"
"Gillam Dental Group","Phone Number

204-652-2405","Dentists","2026-04-17"
"docbraces Thompson","Phone Number

204-778-7000","Dentists","2026-04-17"
"Westwood Dental Clinic","Phone Number

204-679-2912","Dentists","2026-04-17"
"Dr K L Row","Phone Number

204-254-3520","Dentists","2026-04-17"
"Aurora Dental Clinic","Phone Number

204-677-3935","Dentists","2026-04-17"
"Thompson Dental Centre","Phone Number

204-677-4555","Dentists","2026-04-17"
"Fireside Denture Inc.","Phone Number

867-920-7373","Dentists","2026-04-17"
"Birchwood Dental","Phone Number

867-873-5677","Dentists","2026-04-17"
"Somba Ké Family Dental","Phone Number

867-873-2027","Dentists","2026-04-17"
"Frame Lake Family Dental","Phone Number

867-669-0003

867-669-0103

867-669-1796","Dentists","2026-04-17"
"Parker Denture Clinic","Phone Number

204-687-5270

204-687-6882","Dentists","2026-04-17"
"Flin Flon Dental Office","Phone Number

204-687-4214","Dentists","2026-04-17"
"Up North Dental Corporation","Phone Number

204-687-3110","Dentists","2026-04-17"
